store_id,store_name,address,city,state,zip,lat,lon,territory
3002,Hanley Road,1603 S Hanley Rd,Brentwood,MO,63144.0,38.62606,-90.33689,1
3003,Bridgeton,11215 St Charles Rock Rd,Bridgeton,MO,63044.0,38.74026,-90.39896,1
3004,Manchester Road,13929 Manchester Rd,Ballwin,MO,63011.0,38.59986,-90.48782,1
3007,Sunset Hills,10830 Sunset Hills,Sunset Hills,MO,63127.0,38.55271,-90.4106,1
3009,St Charles,3891 Mexico Rd,St Charles,MO,63303.0,38.78733,-90.56423,1
3010,South County,7481 S Lindbergh  Blvd,South County,MO,63125.0,38.50605,-90.32205,1
3011,Southtown,3202 S Kingshighway Blvd,Kings,MO,63139.0,38.60144,-90.26745,1
3013,Ferguson,10930 New Halls Ferry Rd,Ferguson,MO,63136.0,38.76989,-90.26253,1
3014,Arnold,3865 Vogel Rd,Arnold,MO,63010.0,38.41251,-90.39483,1
3015,O'Fallon,1525 Hwy K,O'Fallon,MO,63366.0,38.7884,-90.70177,1
3018,Ellisville,37 Ellisville Town Ctr Dr,Ellisville,MO,63011.0,38.59075,-90.60872,1
3022,Cottleville,6190 Mid Rivers Mall Dr,St Peters,MO,63304.0,38.7432,-90.6333,1
3025,Wentzville,1920 Wentzville Pkwy,Wentzville,MO,63385.0,38.81575,-90.87419,1
3027,Osage Beach,4030 Osage Beach Parkway,Osage Beach,MO,65065.0,38.15192,-92.6,11059,1
3032,Festus,1131 West Gannon,Festus,Mo,63028.0,38.21142,-90.40177,1
3033,Poplar Bluff,939 S Westwood Blvd,Poplar Bluff,MO,63901.0,36.74871,-90.41344,1
3034,Florissant,13915 New Halls Ferry Rd,Florissant,MO,63033.0,38.80504,-90.29884,1
3036,Kirksville,3015 N Baltimore,Kirksville,MO,63501.0,40.22581,-92.58467,1
3037,Overland,8901 Page Ave,Overland,MO,63114.0,38.68805,-90.35511,1
3701,Fargo,4700 17th Ave S,Fargo,ND,58103.0,46.85315,-96.86662,6
3703,Minot,,,,,48.1993847,-101.2933103,8
4902,West Allis,11071 W National Ave,West Allis,WI,53227.0,42.99037,-88.04981,5
4903,Grand Chute,653 North Westhill Blvd,Grand Chute,WI,54915.0,44.26887,-88.4667,5
4905,Onalaska,2927 Market Place,Onalaska,WI,54650.0,43.87993,-91.18632,7
4906,East Madison,2425 East Springs Drive,Madison,WI,53704.0,43.13241,-89.29548,5
4907,Franklin/Greenfield,6489 South 27th Street,Franklin,WI,53132.0,42.92682,-87.95297,5
4909,West Madison,4550 Verona Road,Madison,WI,53711.0,43.03626,-89.45738,5
4910,Delafield,3400 Hillside Dr,Delafield,WI,53018.0,43.04906,-88.36185,5
4911,Janesville,3200 Deerfield Drive,Janesville,WI,53546.0,42.72014,-88.98207,5
4912,North Shore,4155 North Port Washington Rd.,Milwaukee,WI,53212.0,43.09404,-87.92052,5
4915,Bellevue,2595 Eaton Road,Green Bay,WI,54311.0,44.4633,-87.95285,5
4916,Lake Geneva,500 North Edwards Boulevard,Lake Geneva,WI,53147.0,42.5958,-88.41479,5
4918,Waukesha,2320 West Bluemound Road,Waukesha,WI,53186.0,43.03831,-88.1802,5
4919,Grafton,,,,,43.3179901,-87.9218495,5
4920,West Green Bay,810 South Taylor Street,Green Bay,WI,54303.0,44.5285,-88.07992,5
4921,Mukwonago,,,,,42.8527842,-88.3175161,5
4923,Wauwatosa,4100 N 124th St,Wauwatosa,WI,53222.0,43.09205,-88.06531,5
4924,Kohler,4025 Highway 28,Kohler,WI,53044.0,43.71462,-87.7633,5
