Week #,Week date,Shipping,Additional,Status
7,02/09/26,All,Valentines R2,Delivering
8,02/16/26,A & B,n/a,Order Complete
9,02/23/26,SKIP ALL,n/a,n/a
10,03/02/26,All,n/a,Request Due 2/20
11,03/09/26,All,1st Rd Palms,n/a
12,03/16/26,All,n/a,n/a
