Week,Category,Size,Plant Name
6,FLO,"6""",Seasonal Ceramic
6,FLO,"4""",Holiday Ceramic
6,FOL,"6""",Foliage in Daphne
6,UCO,"8""",Nursery Knockouts
7,FHB,"10""",Deco HB
7,TRP,"6""",Tropical Mix
