SKU Name,SKU,Sent In,Weeks Sent In,Unnamed: 4
"10"" Promo Foliage",1000-003-903,"10"" 2/1 Yucca ",16,
"6"" English Holly",896-939,"6"" Petite Boho w/ Foliage",16,
"10"" Floral Combo",191-596,"8"" Glass Terrarium",17,
"6"" Watering Cans",931-076,"5.5"" Watering Cans w/Garden",17,
"7.5"" Snowburst Teapot",587-365,"6"" Fern in Embossed Ceramic",17,
"6"" Strawberry & Cream Hydrangea",714-433,"4.5"" Hydrangea","17, 18",
"5"" Stephanotis",587-678,"6"" Hawaiian Palm",17,
"10"" Upscale Tropical",1005-796-170,"8"" Swiss Cheese on Trellis",18,
"10"" Ficus Alii Standard",1000-005-279,"8"" Ficus Audrey Staggered",18,
"10"" 3/2/1 Yucca ",1000-005-296,"10"" Mass Cane Branch",18,
"6"" Bonsai Odessa",733-295,Yoga Mother w/Air Plant,18,
Medium Fairy Garden,1001-363-215,Ruffles Hanging Planter w/Foliage,18,
"6"" Ivy Hole in One",865-512,Petite Lino Planter w/Foliage,18,
"6"" Starter Bonsai",1000-043-979,"4"" Mother's Day Mug w/Foliage",18,
"6"" Floral Ceramic",124-803,"6"" Mini Rose in Market Tin",18,
"8"" Holiday Floral Basket",1001-363-220,"8"" Mini Rose & Ivy Combo in Low Bowl",18,
"6"" Gloxinia",102-876,"6"" Caladium",18,
"6"" Exacum",102-744,"4.5"" Azalea",18,
"14"" Patio Queen Palm",1000-012-839,"12"" Alocasia","18, 21",
"14"" Patio Fox Tail Palm",1000-012-844,"12"" Fishtail Palm",18,
"14"" Patio Sago Palm",1000-012-843,"12"" Cordyline","18, 19, 21",
"5"" Holiday",124-308,"6"" Farolito Lily",18,
"4"" Deco",135-201,"4"" Lisianthus","18, 23",
"6"" Deluxe Foliage",456-373,"6"" Arboricola Luseane",19,
"6"" Foliage Bouquet",359-800,"6"" Hanging Basket","19, 21, 38",
"6"" Holiday Floral Combo",1001-363-224,Bambini Hanging Planter,"19, 28, 29",
"7"" PW Philodendron Florida Green",1007-546-439,"7"" PW Philodendron Imperial Green",19,
"10"" Totem Pole",1000-012-229,"10"" Dracaena Combo",19,
"10"" Ficus Robusta",1000-005-208,"10"" Ficus Burgundy","19, 23, 28, 29",
"10"" Upscale Tropical",1005-796-170,"10"" Aralia Stump w/pot cover ","19, 20, 30",
"14"" Patio White Bird",1000-052-858,"14"" Ficus Burgundy",19,
"7"" Gingerbread House",587-631,"6"" Philodendron Silver Sword","20, 27",
"6"" Philodendron Moonlight",1005-837-384,"6"" Philodendron Fuzzy Petiole","20, 32",
"6"" Luxury Foliage",1006-939-475,Mesa Planter w/Foliage,20,
Medium Fairy Garden,1001-363-215,Hanging Pear-Shaped Terrarium,20,
"4.5"" Angel Ornamental Vase",776-440,"4"" Ivy",20,
"4"" Floral Seasonal",131-403,Mini Kalanchoes in Ceramic,20,
"14"" Patio Palm Bottle ",1000-012-838,"12"" Ficus Lyrata",20,
"14"" Patio Fox Tail Palm",1000-012-844,"12"" Marginata Cane",20,
"12"" Patio Selloum",1000-052-867,"12"" Monstera",20,
"6"" Foliage on Pole",248-304,"6"" Hoya ","21, 30, 32, 50",
"6"" Staghorn Fern",157-063,"6"" Elkhorn Fern",21,
"6"" Ficus Audrey",1006-110-510,"6"" Ficus Burgundy",21,
"10"" Dracaena Warneckii",1001-476-048,"10"" Dracaena Rikki","21, 23",
"6.5"" Ceramic Luxury Foliage",1007-927-856,Luna Hanging Planter,21,
"8"" Holiday Floral Combo",1001-363-239,Small Pyramid Bamboo,21,
"4"" Double Wicker",324-789,"4"" Tradescantia",21,
"14"" Patio Fox Tail Palm",1000-012-844,"12"" Draceana Colorama",21,
"6"" Kimberly Queen Fern",1006-110-503,"6"" Autumn Fern",21,
"10"" Supreme Tropical",1000-042-855,"10"" Gardenia",21,
"6"" Boston Fern",1006-110-469,"6"" Nevada Fern",22,
10” Marble Bonsai,1005-847-051,Wild Roots Planter w/Foliage,22,
"6"" Ivy Hole in One",865-512,Petite Mason Planter w/Foliage,22,
"6"" Ponytail Stump",1006-807-147,"6"" Pachira Aquatica (Money Tree) Stump","23, 40, 50",
"7.5"" Snowburst Teapot",587-365,"4.5"" Hoya Krimson Queen Hanging Basket","23, 49",
"7"" Gingerbread House",587-631,"4.5"" Hoya Curtisii Hanging Basket",23,
"6"" Floral Ceramic",124-803,"6"" Terra Cotta Garden",23,
"12"" Selloum",1000-052-867,"10"" 432 Mass Cane w/pot cover",24,
Tillairum Glass Airplant,1000-017-354,Nuts & Bolts Air Plant,24,
"8"" Ivy Tree",865-479,Symmetry Planter w/Foliage,24,
"4"" Double Wicker",324-789,"4"" Pearl & Jade Pothos","24, 31",
"4"" Double Wicker",324-789,"4"" Scindapsus Pictus","24, 31",
"4"" Double Wicker",324-789,"4"" Philodendron Micans","24, 28, 29, 31",
"6"" Limited Edition",921-409,"4"" Palm Print Planter w/Foliage",24,
"7"" PW Alocasia Zebrina",1007-731-902,"7"" PW Alocasia Sarian",25,
"6"" Melamine",921-310,"4"" Watermelon Peperomia in ceramic",25,
"6"" Summer Floral",496-407,"4.5"" Floral in Ceramic",25,
"8"" Holiday Floral Basket",1001-363-220,"5"" Mason Jar Garden",25,
6x10 Terrarium,1000-002-103,"4"" Orchid in Seashell Ceramic",25,
"6"" Philodendron Moonlight",1005-837-384,"6"" Philodendron Florida",27,
"6"" Aglaonema Maria",1005-837-398,"6"" Homalomena Selby",27,
"4"" Terra Cotta",1006-939-489,"4"" Philodendron Fuzzy Petiole",27,
"10"" Upscale Tropical",1005-796-170,"10"" Lyrata Standard",27,
"10"" Upscale Tropical",1005-796-170,"10"" Monstera on Trellis","28, 29",
"7"" PW Sprouts Wicker",1007-546-454,"7"" PW Alocasia Portora",29,
"4"" Double Wicker",324-789,"4"" Hoya Splash","28, 29",
6” Ivy Topiary,1000-029-760,"10"" Asst Hanging Baskets","28, 29",
"6"" Deco Foliage",457-004,"6"" Rex Begonias w/pot cover","28, 29",
